,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
73,gluteus_medius_left,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000,Left,,,,,,
74,gluteus_medius_right,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007,Right,,,,,,
75,gluteus_minimus_left,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,7771000,Left,,,,,,
76,gluteus_minimus_right,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,24028007,Right,,,,,,
77,autochthon_left,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,7771000,Left,,,,,,
78,autochthon_right,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,24028007,Right,,,,,,
79,iliopsoas_left,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,7771000,Left,,,,,,
80,iliopsoas_right,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,24028007,Right,,,,,,
81,rib_left_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,7771000,Left,,,,,,
82,rib_left_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,7771000,Left,,,,,,
83,rib_left_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,7771000,Left,,,,,,
84,rib_left_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,7771000,Left,,,,,,
85,rib_left_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,7771000,Left,,,,,,
86,rib_left_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,7771000,Left,,,,,,
87,rib_left_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,7771000,Left,,,,,,
88,rib_left_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,7771000,Left,,,,,,
89,rib_left_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,7771000,Left,,,,,,
90,rib_left_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,7771000,Left,,,,,,
91,rib_left_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,7771000,Left,,,,,,
92,rib_left_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,7771000,Left,,,,,,
93,rib_right_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,24028007,Right,,,,,,
94,rib_right_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,24028007,Right,,,,,,
95,rib_right_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,24028007,Right,,,,,,
96,rib_right_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,24028007,Right,,,,,,
97,rib_right_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,24028007,Right,,,,,,
98,rib_right_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,24028007,Right,,,,,,
99,rib_right_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,24028007,Right,,,,,,
100,rib_right_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,24028007,Right,,,,,,
101,rib_right_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,24028007,Right,,,,,,
102,rib_right_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,24028007,Right,,,,,,
103,rib_right_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,24028007,Right,,,,,,
104,rib_right_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,24028007,Right,,,,,,
105,spinal_canal,SCT,123037004,Anatomical Structure,SCT,61853006,Spinal canal,,,,,,,,,
106,larynx,SCT,123037004,Anatomical Structure,SCT,4596009,Larynx,,,,,,,,,
107,heart,SCT,123037004,Anatomical Structure,SCT,80891009,Heart,,,,,,,,,
108,bowel_bag,SCT,260787004,Physical object,SCT,339648008,Colostomy bag,,,,,,,,,
109,sigmoid,SCT,123037004,Anatomical Structure,SCT,60184004,Sigmoid colon,,,,,,,,,
110,rectum,SCT,123037004,Anatomical Structure,SCT,34402009,Rectum,,,,,,,,,
111,prostate,SCT,123037004,Anatomical Structure,SCT,41216001,Prostate,,,,,,,,,
112,seminal_vesicle,SCT,123037004,Anatomical Structure,SCT,64739004,Seminal vesicle,,,,,,,,,
113,left_mammary_gland,SCT,123037004,Anatomical Structure,SCT,279009002,Mammary gland,SCT,7771000,Left,,,,,,
114,right_mammary_gland,SCT,123037004,Anatomical Structure,SCT,279009002,Mammary gland,SCT,24028007,Right,,,,,,
115,sternum,SCT,123037004,Anatomical Structure,SCT,56873002,Sternum,,,,,,,,,
116,right psoas major,SCT,123037004,Anatomical Structure,SCT,57240007,Structure of psoas major muscle,SCT,24028007,Right,,,,,,
117,left psoas major,SCT,123037004,Anatomical Structure,SCT,57240007,Structure of psoas major muscle,SCT,7771000,Left,,,,,,
118,right rectus abdominis,SCT,123037004,Anatomical Structure,SCT,31243008,Rectus abdominis muscle,SCT,24028007,Right,,,,,,
119,left rectus abdominis,SCT,123037004,Anatomical Structure,SCT,31243008,Rectus abdominis muscle,SCT,7771000,Left,,,,,,
120,white matter,SCT,123037004,Anatomical Structure,SCT,389080008,White matter,,,,,,,,,
121,gray matter,SCT,123037004,Anatomical Structure,SCT,389081007,Gray matter,,,,,,,,,
122,csf,SCT,91720002,Body substance,SCT,65216001,Cerebrospinal fluid,,,,,,,,,
123,scalp,SCT,123037004,Anatomical Structure,SCT,41695006,Scalp structure,,,,,,,,,
124,eye balls,SCT,123037004,Anatomical Structure,SCT,81745001,Eyeball,,,,,,,,,
125,compact bone,SCT,123037004,Anatomical Structure,SCT,32217005,Compact bone,,,,,,,,,
126,spongy bone,SCT,123037004,Anatomical Structure,SCT,20870005,Spongy bone,,,,,,,,,
127,blood,SCT,123037004,Anatomical Structure,SCT,87612001,Blood,,,,,,,,,
128,head muscles,SCT,123037004,Anatomical Structure,SCT,22688005,Muscle of head,,,,,,,,,
129,OAR_A_Carotid_L,SCT,123037004,Anatomical Structure,SCT,721028001,Structure of left carotid artery,,,,,,,,,
130,OAR_A_Carotid_R,SCT,123037004,Anatomical Structure,SCT,721033002,Structure of right carotid artery,,,,,,,,,
131,OAR_Arytenoid,SCT,123037004,Anatomical Structure,SCT,77578007,Arytenoid cartilage structure,,,,,,,,,
132,OAR_Bone_Mandible,SCT,123037004,Anatomical Structure,SCT,91609006,Mandible,,,,,,,,,
133,OAR_Brainstem,SCT,123037004,Anatomical Structure,SCT,180925009,Entire brainstem,,,,,,,,,
134,OAR_BuccalMucosa,SCT,123037004,Anatomical Structure,SCT,16811007,Buccal mucosa,,,,,,,,,
135,OAR_Cavity_Oral,SCT,123037004,Anatomical Structure,SCT,74262004,Oral cavity,,,,,,,,,
136,OAR_Cochlea_L,SCT,123037004,Anatomical Structure,SCT,772064001,Structure of left cochlear,,,,,,,,,
137,OAR_Cochlea_R,SCT,123037004,Anatomical Structure,SCT,772065000,Structure of right cochlear,,,,,,,,,
138,OAR_Cricopharyngeus,SCT,123037004,Anatomical Structure,SCT,28276008,Cricopharyngeus,,,,,,,,,
139,OAR_Esophagus_S,SCT,123037004,Anatomical Structure,SCT,60075002,Cervical esophagus,,,,,,,,,
140,OAR_Eye_AL,SCT,123037004,Anatomical Structure,SCT,717762003,Structure of anterior eyeball segment of left eye,,,,,,,,,
141,OAR_Eye_AR,SCT,123037004,Anatomical Structure,SCT,722049003,Structure of anterior eyeball segment of right eye,,,,,,,,,
142,OAR_Eye_PL,SCT,123037004,Anatomical Structure,SCT,77205005,Posterior eyeball segment structure,SCT,7771000,Left,,,,,,
143,OAR_Eye_PR,SCT,123037004,Anatomical Structure,SCT,77205005,Posterior eyeball segment structure,SCT,24028007,Right,,,,,,
144,OAR_Glnd_Lacrimal_L,SCT,123037004,Anatomical Structure,SCT,30641009,Both lacrimal glands,SCT,7771000,Left,,,,,,
145,OAR_Glnd_Lacrimal_R,SCT,123037004,Anatomical Structure,SCT,30641009,Both lacrimal glands,SCT,24028007,Right,,,,,,
146,OAR_Glnd_Submand_L,SCT,123037004,Anatomical Structure,SCT,181235001,Entire submandibular gland,SCT,7771000,Left,,,,,,
147,OAR_Glnd_Submand_R,SCT,123037004,Anatomical Structure,SCT,181235001,Entire submandibular gland,SCT,24028007,Right,,,,,,
148,OAR_Glnd_Thyroid,SCT,123037004,Anatomical Structure,SCT,69748006,Thyroid structure,,,,,,,,,
149,OAR_Glottis,SCT,123037004,Anatomical Structure,SCT,1307006,Glottis structure,,,,,,,,,
150,OAR_Larynx_SG,SCT,123037004,Anatomical Structure,SCT,119255006,Supraglottis structure,,,,,,,,,
151,OAR_Lips,SCT,123037004,Anatomical Structure,SCT,81083006,Both lips,,,,,,,,,
152,OAR_OpticChiasm,SCT,123037004,Anatomical Structure,SCT,244453006,Optic chiasm,,,,,,,,,
153,OAR_OpticNrv_L,SCT,123037004,Anatomical Structure,SCT,724379002,Left optic nerve,,,,,,,,,
154,OAR_OpticNrv_R,SCT,123037004,Anatomical Structure,SCT,724380004,Right optic nerve,,,,,,,,,
155,OAR_Parotid_L,SCT,123037004,Anatomical Structure,SCT,44178003,Left parotid gland,,,,,,,,,
156,OAR_Parotid_R,SCT,123037004,Anatomical Structure,SCT,85706002,Right parotid gland,,,,,,,,,
157,OAR_Pituitary,SCT,123037004,Anatomical Structure,SCT,56329008,Pituitary gland,,,,,,,,,
158,subcutaneous_tissue,SCT,123037004,Anatomical Structure,SCT,71966008,Subcutaneous tissue structure,,,,,,,,,
159,muscle,SCT,85756007,Tissue,SCT,71616004,Muscle,,,,,,,,,
160,abdominal_cavity,SCT,123037004,Anatomical Structure,SCT,52731004,Abdominal cavity structure,,,,,,,,,
161,thoracic_cavity,SCT,123037004,Anatomical Structure,SCT,43799004,Thoracic cavity structure,,,,,,,,,
162,bones,SCT,85756007,Tissue,SCT,272673000,Bone,,,,,,,,,
163,glands,SCT,123037004,Anatomical Structure,SCT,362884007,Gland structure,,,,,,,,,
164,pericardium,SCT,123037004,Anatomical Structure,SCT,76848001,Pericardium,,,,,,,,,
165,breast_implant,SCT,260787004,Physical object,SCT,2282003,Prosthetic breast implant,,,,,,,,,
166,mediastinum,SCT,123037004,Anatomical Structure,SCT,72410000,Mediastinum,,,,,,,,,
167,spinal_cord,SCT,123037004,Anatomical Structure,SCT,2748008,Spinal cord,,,,,,,,,
